date,TOT
1988-01-01,10.069109343909139
1988-04-01,10.186887213038998
1988-07-01,10.13060360042358
1988-10-01,10.488933615465372
1989-01-01,9.979697724794963
1989-04-01,9.755913026203169
1989-07-01,9.679505136459447
1989-10-01,9.247054565742166
1990-01-01,9.31953919918627
1990-04-01,9.567568586319512
1990-07-01,8.91418079967232
1990-10-01,8.993377037719728
1991-01-01,9.76250980202082
1991-04-01,9.617458759554404
1991-07-01,9.490599577289291
1991-10-01,9.4477717814738
1992-01-01,9.822299867871727
1992-04-01,9.7458212251423
1992-07-01,9.417949541031035
1992-10-01,9.66596952894157
1993-01-01,9.614101449708187
1993-04-01,9.986214043849603
1993-07-01,10.191661440998185
1993-10-01,10.891709365508497
1994-01-01,10.941059505445965
1994-04-01,11.144119208037056
1994-07-01,11.601359441614896
1994-10-01,11.84097003410112
1995-01-01,11.770412826947469
1995-04-01,12.087788996143878
1995-07-01,12.485209867407224
1995-10-01,12.536499469630801
1996-01-01,12.882690470380398
1996-04-01,12.85730095605658
1996-07-01,12.813266017478215
1996-10-01,12.91332589835736
1997-01-01,13.16561911235775
1997-04-01,13.327094068416775
1997-07-01,13.597281732080791
1997-10-01,13.182596014646716
1998-01-01,12.063149932462853
1998-04-01,11.835759603758897
1998-07-01,11.769201418190832
1998-10-01,11.322089956738386
1999-01-01,11.830858385621024
1999-04-01,11.68122685118434
1999-07-01,11.360520136280758
1999-10-01,11.22723736390141
2000-01-01,10.7205948399354
2000-04-01,10.49540844831477
2000-07-01,10.14800198249455
2000-10-01,9.793189380870725
2001-01-01,9.442938998906756
2001-04-01,9.736130030818003
2001-07-01,9.385917900242841
2001-10-01,9.5502919757198
2002-01-01,10.443971884213354
2002-04-01,10.684122247213807
2002-07-01,10.970263215418816
2002-10-01,11.739661961173411
2003-01-01,11.616724835927164
2003-04-01,11.870192451996148
2003-07-01,12.251187653625934
2003-10-01,12.705941274393659
2004-01-01,13.660564913931086
2004-04-01,13.766265532110635
2004-07-01,14.142611444965903
2004-10-01,13.864494160433145
2005-01-01,14.93492963638512
2005-04-01,14.884806890577012
2005-07-01,14.922561305327656
2005-10-01,15.492449741663497
2006-01-01,15.675187967674292
2006-04-01,15.650610148433191
2006-07-01,15.969254442259349
2006-10-01,15.360083878190983
2007-01-01,14.428003590576811
2007-04-01,14.846699658555213
2007-07-01,14.294512089523492
2007-10-01,13.857677132901781
2008-01-01,13.011849362570308
2008-04-01,12.77285889795308
2008-07-01,12.730851549642702
2008-10-01,9.866804854314983
2009-01-01,12.218145774850345
2009-04-01,12.378173783568489
2009-07-01,13.780083586329377
2009-10-01,14.360443055373617
2010-01-01,15.012990610080115
2010-04-01,14.753082572174137
2010-07-01,15.853702004045516
2010-10-01,15.93860106523081
2011-01-01,14.522411221191266
2011-04-01,15.33850110358629
2011-07-01,15.440797100158413
2011-10-01,16.42105609813695
2012-01-01,16.478709244609913
2012-04-01,16.30270249431541
2012-07-01,16.288825437248565
2012-10-01,15.886350979785387
2013-01-01,16.00618997566104
2013-04-01,15.881155335327254
2013-07-01,15.989386426968528
2013-10-01,16.100772104024877
2014-01-01,15.483296453963083
2014-04-01,16.41565444610499
2014-07-01,16.559353123404925
2014-10-01,16.40681910823473
2015-01-01,16.031248602417527
2015-04-01,15.740383246494744
2015-07-01,15.356358784991672
2015-10-01,14.540374261996938
2016-01-01,15.113481278224416
2016-04-01,14.840818060393046
2016-07-01,14.90592189498189
2016-10-01,14.931519287343919
2017-01-01,14.855009849406226
2017-04-01,14.741027428440306
2017-07-01,14.892945218509182
2017-10-01,14.931597603484715
2018-01-01,14.898802339615633
2018-04-01,15.118603183543206
2018-07-01,14.924273471913354
2018-10-01,15.021564073499198
2019-01-01,14.890602779430964
2019-04-01,15.058121049902626
2019-07-01,15.208169115753867
2019-10-01,15.13279577701071
2020-01-01,13.643875004035696
2020-04-01,14.493220449255595
2020-07-01,17.417996485862812
2020-10-01,15.202515920935006
2021-01-01,16.603731827378827
2021-04-01,17.80621714412894
2021-07-01,17.49799954025637
2021-10-01,17.305483905609165
2022-01-01,16.58965091777529
2022-04-01,17.30594304581309
2022-07-01,17.462347848586244
2022-10-01,17.20649455642717
2023-01-01,17.457090384052513
2023-04-01,17.354669452939614
2023-07-01,17.658980611068863
2023-10-01,17.916175977826093
2024-01-01,17.359373712029726
2024-04-01,17.622970260634283
2024-07-01,17.366018029103632
2024-10-01,17.998570767087394
2025-01-01,17.601373624968403
2025-04-01,17.43754879217282
2025-07-01,17.931111354723512
