date,NetBusInv,net_invest,gdp
1988-01-01,3.553336912806709,0.18,5.1
1988-04-01,3.7087025985946918,0.19,5.2
1988-07-01,3.5900231599131907,0.19,5.3
1988-10-01,3.66544439503666,0.2,5.4
1989-01-01,4.203744593107955,0.23,5.5
1989-04-01,3.977451610816855,0.22,5.6
1989-07-01,3.6777449733248,0.21,5.7
1989-10-01,3.568897541549096,0.21,5.7
1990-01-01,3.538303754950235,0.21,5.9
1990-04-01,3.5374833809505595,0.21,6.0
1990-07-01,3.2816324739207023,0.2,6.0
1990-10-01,2.4333804683738642,0.15,6.0
1991-01-01,2.045706025572071,0.12,6.0
1991-04-01,1.811220817442926,0.11,6.1
1991-07-01,1.8995036527119111,0.12,6.2
1991-10-01,2.2395738553828375,0.14,6.3
1992-01-01,1.629519690239132,0.1,6.4
1992-04-01,2.2434912235234084,0.15,6.5
1992-07-01,2.2818515585060917,0.15,6.6
1992-10-01,2.50838110328953,0.17,6.7
1993-01-01,2.757279597067164,0.19,6.7
1993-04-01,2.6983352325523846,0.18,6.8
1993-07-01,2.4016077655389387,0.17,6.9
1993-10-01,2.844317823106594,0.2,7.0
1994-01-01,3.248936288621197,0.23,7.1
1994-04-01,3.763606966866388,0.27,7.2
1994-07-01,3.4336164887141383,0.25,7.3
1994-10-01,4.010616357141401,0.3,7.5
1995-01-01,4.144815494326261,0.31,7.5
1995-04-01,3.757764315168572,0.28,7.6
1995-07-01,3.4212511185227363,0.26,7.7
1995-10-01,3.5622507103813326,0.28,7.8
1996-01-01,3.520634512334549,0.28,7.9
1996-04-01,3.898322386602995,0.31,8.0
1996-07-01,4.340109363593611,0.35,8.1
1996-10-01,4.201060780014361,0.35,8.3
1997-01-01,4.438889324024487,0.37,8.4
1997-04-01,4.909268590445278,0.42,8.5
1997-07-01,4.96589852984414,0.43,8.7
1997-10-01,4.866125091219882,0.43,8.8
1998-01-01,5.270727504037679,0.47,8.9
1998-04-01,4.668506713547467,0.42,9.0
1998-07-01,4.777067933824188,0.44,9.1
1998-10-01,4.988879373780327,0.46,9.3
1999-01-01,5.330056837874462,0.5,9.4
1999-04-01,4.931331557880836,0.47,9.5
1999-07-01,5.044439622217271,0.49,9.7
1999-10-01,5.235011644750711,0.52,9.9
2000-01-01,4.778448776011707,0.48,10.0
2000-04-01,5.641450000585496,0.58,10.2
2000-07-01,5.316449194212343,0.55,10.3
2000-10-01,5.2023315251888125,0.54,10.4
2001-01-01,3.9626155335063764,0.41,10.5
2001-04-01,3.6299933956033583,0.38,10.6
2001-07-01,3.170516756903648,0.34,10.6
2001-10-01,2.156097318456559,0.23,10.7
2002-01-01,2.4866230815597903,0.27,10.8
2002-04-01,2.4483212797107865,0.27,10.9
2002-07-01,2.310060779094031,0.25,11.0
2002-10-01,2.158707646649399,0.24,11.1
2003-01-01,2.0792135118540336,0.23,11.2
2003-04-01,2.006052277577385,0.23,11.3
2003-07-01,2.1975903347800476,0.25,11.6
2003-10-01,2.555793573250413,0.3,11.8
2004-01-01,2.415559862848386,0.29,11.9
2004-04-01,2.851872170094235,0.35,12.1
2004-07-01,2.9704744465131996,0.37,12.3
2004-10-01,3.136571307874201,0.39,12.5
2005-01-01,3.4463471719831453,0.44,12.8
2005-04-01,2.955808774914383,0.38,12.9
2005-07-01,2.923803296171348,0.38,13.1
2005-10-01,3.4236341623109343,0.46,13.3
2006-01-01,3.5770591713017565,0.49,13.6
2006-04-01,3.5738809477552644,0.49,13.8
2006-07-01,3.6509454666367893,0.51,13.9
2006-10-01,3.389792842510734,0.48,14.0
2007-01-01,3.312841599726949,0.47,14.2
2007-04-01,3.5863842463888207,0.52,14.4
2007-07-01,3.6105999423102686,0.53,14.6
2007-10-01,3.481080400770422,0.51,14.7
2008-01-01,3.086416395211436,0.45,14.7
2008-04-01,2.8975828317816967,0.43,14.9
2008-07-01,2.6112425405223534,0.39,14.9
2008-10-01,1.5939120257657868,0.23,14.6
2009-01-01,-0.08653651725997447,-0.01,14.4
2009-04-01,-0.8451290278526825,-0.12,14.4
2009-07-01,-1.018217188014962,-0.15,14.4
2009-10-01,0.037716920925990674,0.01,14.7
2010-01-01,0.37025021317867524,0.05,14.8
2010-04-01,0.9677578920378396,0.14,15.0
2010-07-01,1.6862212841741302,0.26,15.1
2010-10-01,1.5292034200521847,0.23,15.3
2011-01-01,1.202153699116852,0.18,15.4
2011-04-01,1.5914920733928422,0.25,15.6
2011-07-01,1.5678554264913394,0.25,15.6
2011-10-01,2.526552557940127,0.4,15.8
2012-01-01,2.5912007769090484,0.42,16.1
2012-04-01,2.8348845553326423,0.46,16.2
2012-07-01,2.683825482591698,0.44,16.3
2012-10-01,2.4020154418714896,0.39,16.4
2013-01-01,2.6913437852009006,0.45,16.6
2013-04-01,2.6630900560217308,0.45,16.7
2013-07-01,3.094019183148972,0.52,17.0
2013-10-01,3.1369439505621766,0.54,17.2
2014-01-01,2.8894032459385066,0.5,17.2
2014-04-01,3.3831248642863883,0.59,17.5
2014-07-01,3.5512014337268654,0.63,17.8
2014-10-01,3.4634505575818415,0.62,17.9
2015-01-01,3.8456881819715294,0.69,18.1
2015-04-01,3.641749814986873,0.67,18.3
2015-07-01,3.4748070632453896,0.64,18.4
2015-10-01,3.2093441996118606,0.59,18.4
2016-01-01,2.850571682408654,0.53,18.5
2016-04-01,2.6680202581251025,0.5,18.7
2016-07-01,2.601092414881796,0.49,18.9
2016-10-01,2.8723144948822066,0.55,19.1
2017-01-01,2.6217935565011024,0.51,19.3
2017-04-01,2.8271572249153403,0.55,19.4
2017-07-01,2.9498702431040704,0.58,19.7
2017-10-01,3.0233734562627066,0.61,20.0
2018-01-01,3.1407695373104025,0.64,20.3
2018-04-01,2.9475564542523673,0.61,20.6
2018-07-01,3.403207792014224,0.71,20.8
2018-10-01,3.364061928493952,0.7,20.9
2019-01-01,3.3884831088122165,0.72,21.1
2019-04-01,3.354846621202473,0.72,21.4
2019-07-01,3.2755509453786593,0.71,21.7
2019-10-01,2.8603373595400985,0.63,21.9
2020-01-01,2.303399926018004,0.5,21.8
2020-04-01,0.04235833619221205,0.01,20.0
2020-07-01,2.363350866921819,0.51,21.7
2020-10-01,2.563267527377897,0.57,22.1
2021-01-01,2.190012448032342,0.5,22.7
2021-04-01,1.7913370281026437,0.42,23.4
2021-07-01,2.2620775028198827,0.54,24.0
2021-10-01,3.2619893929135633,0.81,24.8
