date,P10,P25,P50,P75,P90
1989-01-01,522.95,715.51,1066.56,1571.78,2200.69
1989-02-01,504.89,709.18,1063.68,1555.85,2227.35
1989-03-01,520.35,713.79,1057.42,1556.38,2184.96
1989-04-01,518.74,709.31,1061.93,1575.36,2224.25
1989-05-01,514.19,706.49,1055.22,1569.03,2217.52
1989-06-01,517.27,710.47,1063.93,1610.81,2264.02
1989-07-01,514.77,708.72,1060.83,1578.21,2215.55
1989-08-01,512.1,709.22,1059.79,1578.27,2194.94
1989-09-01,525.69,714.57,1063.82,1572.63,2186.76
1989-10-01,525.89,715.83,1068.29,1591.16,2251.22
1989-11-01,521.44,715.92,1056.22,1561.07,2229.19
1989-12-01,512.97,722.1,1056.72,1570.18,2254.99
1990-01-01,508.79,712.33,1048.27,1549.51,2171.14
1990-02-01,508.86,714.9,1052.42,1569.84,2213.23
1990-03-01,505.48,706.86,1046.41,1572.18,2283.09
1990-04-01,510.47,706.99,1047.73,1553.72,2213.29
1990-05-01,510.11,710.26,1058.09,1557.07,2215.15
1990-06-01,513.06,717.85,1060.94,1550.69,2203.74
1990-07-01,513.3,705.95,1042.83,1542.27,2200.66
1990-08-01,514.93,702.31,1036.36,1572.31,2204.03
1990-09-01,499.96,688.32,1022.24,1526.26,2206.76
1990-10-01,499.09,696.35,1034.39,1519.31,2190.38
1990-11-01,503.43,698.92,1045.09,1545.31,2223.34
1990-12-01,503.08,698.13,1032.74,1541.03,2205.74
1991-01-01,509.32,706.19,1061.0,1546.43,2217.16
1991-02-01,514.58,715.05,1043.66,1546.49,2203.18
1991-03-01,503.75,705.56,1044.76,1543.77,2276.34
1991-04-01,503.37,711.9,1035.83,1537.94,2195.44
1991-05-01,506.21,716.69,1044.35,1544.31,2190.23
1991-06-01,507.9,708.04,1036.32,1525.02,2200.65
1991-07-01,511.77,719.39,1053.86,1564.03,2232.63
1991-08-01,511.11,706.69,1037.18,1542.37,2221.58
1991-09-01,506.04,706.46,1034.46,1557.25,2219.34
1991-10-01,516.63,707.19,1042.28,1576.4,2264.59
1991-11-01,503.3,689.31,1033.91,1557.28,2177.35
1991-12-01,510.35,697.12,1040.68,1552.31,2207.95
1992-01-01,504.84,695.0,1032.55,1536.45,2249.05
1992-02-01,505.29,691.59,1035.83,1536.16,2225.54
1992-03-01,511.47,696.4,1041.74,1556.53,2259.95
1992-04-01,511.02,700.41,1040.04,1565.8,2246.67
1992-05-01,504.08,689.87,1028.24,1552.74,2236.52
1992-06-01,494.96,692.73,1023.4,1537.81,2206.68
1992-07-01,488.98,694.7,1041.24,1564.39,2248.17
1992-08-01,492.71,699.54,1047.02,1564.04,2272.47
1992-09-01,498.74,700.02,1038.44,1569.88,2261.64
1992-10-01,492.52,700.53,1027.05,1553.25,2220.58
1992-11-01,500.51,700.36,1038.58,1564.68,2235.1
1992-12-01,499.21,695.19,1030.9,1542.96,2207.78
1993-01-01,487.04,690.07,1024.61,1552.36,2196.02
1993-02-01,495.7,693.63,1028.05,1548.53,2242.41
1993-03-01,499.64,695.02,1036.29,1535.09,2233.92
1993-04-01,497.22,694.35,1040.87,1553.01,2243.52
1993-05-01,505.6,700.31,1034.22,1558.47,2267.06
