date,value,two_year,ffr
2025-01-27,-0.07,4.26,4.33
2025-02-03,-0.12,4.21,4.33
2025-02-10,-0.1,4.23,4.33
2025-02-17,-0.02,4.3,4.33
2025-02-24,-0.1,4.23,4.33
2025-03-03,-0.3,4.03,4.33
2025-03-10,-0.37,3.96,4.33
2025-03-17,-0.34,3.99,4.33
2025-03-24,-0.34,3.99,4.33
2025-03-31,-0.39,3.94,4.33
2025-04-07,-0.55,3.78,4.33
2025-04-14,-0.48,3.85,4.33
2025-04-21,-0.54,3.79,4.33
2025-04-28,-0.58,3.75,4.33
2025-05-05,-0.61,3.72,4.33
2025-05-12,-0.47,3.86,4.33
2025-05-19,-0.33,4.0,4.33
2025-05-26,-0.34,3.99,4.33
2025-06-02,-0.4,3.93,4.33
2025-06-09,-0.37,3.96,4.33
2025-06-16,-0.37,3.96,4.33
2025-06-23,-0.42,3.9,4.33
2025-06-30,-0.6,3.73,4.33
2025-07-07,-0.5,3.84,4.33
2025-07-14,-0.45,3.88,4.33
2025-07-21,-0.44,3.89,4.33
2025-07-28,-0.44,3.89,4.33
2025-08-04,-0.51,3.82,4.33
2025-08-11,-0.6,3.73,4.33
2025-08-18,-0.6,3.73,4.33
2025-08-25,-0.59,3.74,4.33
2025-09-01,-0.73,3.6,4.33
2025-09-08,-0.65,3.57,4.23
2025-09-15,-0.69,3.54,4.23
2025-09-22,-0.67,3.56,4.23
2025-09-29,-0.63,3.6,4.23
2025-10-06,-0.54,3.58,4.11
2025-10-13,-0.51,3.57,4.08
2025-10-20,-0.62,3.46,4.08
2025-10-27,-0.61,3.47,4.08
2025-11-03,-0.47,3.57,4.04
2025-11-10,-0.29,3.58,3.88
2025-11-17,-0.29,3.59,3.88
2025-11-24,-0.34,3.54,3.88
2025-12-01,-0.37,3.47,3.84
2025-12-08,-0.2,3.53,3.73
2025-12-15,-0.19,3.54,3.73
2025-12-22,-0.26,3.47,3.73
2025-12-29,-0.27,3.46,3.73
2026-01-05,-0.22,3.46,3.69
2026-01-12,-0.14,3.5,3.64
2026-01-19,-0.09,3.55,3.64
2026-01-26,-0.05,3.59,3.64
2026-02-02,-0.1,3.54,3.64
2026-02-09,-0.12,3.52,3.64
2026-02-16,-0.18,3.46,3.64
2026-02-23,-0.18,3.46,3.64
2026-03-02,-0.21,3.43,3.64
2026-03-09,-0.09,3.55,3.64
2026-03-16,0.04,3.68,3.64
2026-03-23,0.15,3.79,3.64
2026-03-30,0.26,3.9,3.64
