date,value,two_year,ffr
2023-04-03,-0.64,4.05,4.7
2023-04-10,-0.95,3.88,4.83
2023-04-17,-0.79,4.04,4.83
2023-04-24,-0.66,4.17,4.83
2023-05-01,-0.87,4.0,4.87
2023-05-08,-1.14,3.91,5.05
2023-05-15,-1.09,3.95,5.05
2023-05-22,-0.85,4.2,5.05
2023-05-29,-0.64,4.4,5.05
2023-06-05,-0.63,4.43,5.06
2023-06-12,-0.53,4.55,5.08
2023-06-19,-0.39,4.68,5.08
2023-06-26,-0.38,4.7,5.08
2023-07-03,-0.26,4.83,5.08
2023-07-10,-0.19,4.93,5.12
2023-07-17,-0.38,4.73,5.12
2023-07-24,-0.34,4.78,5.12
2023-07-31,-0.25,4.87,5.12
2023-08-07,-0.48,4.85,5.33
2023-08-14,-0.49,4.84,5.33
2023-08-21,-0.39,4.94,5.33
2023-08-28,-0.34,4.99,5.33
2023-09-04,-0.46,4.87,5.33
2023-09-11,-0.36,4.97,5.33
2023-09-18,-0.33,5.0,5.33
2023-09-25,-0.23,5.1,5.33
2023-10-02,-0.26,5.07,5.33
2023-10-09,-0.25,5.08,5.33
2023-10-16,-0.3,5.03,5.33
2023-10-23,-0.2,5.13,5.33
2023-10-30,-0.3,5.03,5.33
2023-11-06,-0.38,4.95,5.33
2023-11-13,-0.34,4.99,5.33
2023-11-20,-0.47,4.86,5.33
2023-11-27,-0.45,4.88,5.33
2023-12-04,-0.67,4.66,5.33
2023-12-11,-0.7,4.63,5.33
2023-12-18,-0.84,4.49,5.33
2023-12-25,-0.98,4.35,5.33
2024-01-01,-1.09,4.24,5.33
2024-01-08,-0.97,4.36,5.33
2024-01-15,-1.05,4.28,5.33
2024-01-22,-1.0,4.33,5.33
2024-01-29,-1.02,4.31,5.33
2024-02-05,-1.0,4.33,5.33
2024-02-12,-0.89,4.44,5.33
2024-02-19,-0.73,4.6,5.33
2024-02-26,-0.67,4.66,5.33
2024-03-04,-0.7,4.63,5.33
2024-03-11,-0.81,4.52,5.33
2024-03-18,-0.67,4.66,5.33
2024-03-25,-0.73,4.6,5.33
2024-04-01,-0.73,4.6,5.33
2024-04-08,-0.62,4.71,5.33
2024-04-15,-0.44,4.89,5.33
2024-04-22,-0.37,4.96,5.33
2024-04-29,-0.4,4.93,5.33
2024-05-06,-0.43,4.9,5.33
2024-05-13,-0.49,4.84,5.33
2024-05-20,-0.54,4.79,5.33
2024-05-27,-0.45,4.88,5.33
2024-06-03,-0.42,4.91,5.33
2024-06-10,-0.54,4.79,5.33
2024-06-17,-0.6,4.73,5.33
2024-06-24,-0.63,4.7,5.33
2024-07-01,-0.62,4.71,5.33
2024-07-08,-0.66,4.67,5.33
2024-07-15,-0.8,4.53,5.33
2024-07-22,-0.87,4.46,5.33
2024-07-29,-0.95,4.38,5.33
2024-08-05,-1.22,4.11,5.33
2024-08-12,-1.31,4.02,5.33
2024-08-19,-1.32,4.01,5.33
2024-08-26,-1.39,3.94,5.33
2024-09-02,-1.47,3.86,5.33
2024-09-09,-1.38,3.75,5.13
2024-09-16,-1.53,3.6,5.13
2024-09-23,-1.55,3.58,5.13
2024-09-30,-1.56,3.57,5.13
2024-10-07,-1.06,3.77,4.83
2024-10-14,-0.86,3.98,4.83
2024-10-21,-0.87,3.96,4.83
2024-10-28,-0.75,4.08,4.83
2024-11-04,-0.6,4.16,4.76
2024-11-11,-0.41,4.23,4.65
2024-11-18,-0.34,4.31,4.65
2024-11-25,-0.35,4.3,4.65
2024-12-02,-0.43,4.18,4.61
2024-12-09,-0.35,4.14,4.48
2024-12-16,-0.29,4.2,4.48
2024-12-23,-0.18,4.3,4.48
2024-12-30,-0.2,4.28,4.48
2025-01-06,-0.1,4.26,4.37
2025-01-13,0.0,4.33,4.33
2025-01-20,-0.04,4.28,4.33
