date,Total,unemp,lf
1988-01-01,5.7,7.0,121.0
1988-02-01,5.7,6.9,121.2
1988-03-01,5.7,6.9,120.9
1988-04-01,5.4,6.6,121.3
1988-05-01,5.6,6.8,121.1
1988-06-01,5.4,6.5,121.5
1988-07-01,5.4,6.6,121.7
1988-08-01,5.6,6.8,122.1
1988-09-01,5.4,6.6,122.0
1988-10-01,5.4,6.6,122.2
1988-11-01,5.3,6.5,122.6
1988-12-01,5.3,6.5,122.6
1989-01-01,5.4,6.7,123.4
1989-02-01,5.2,6.4,123.1
1989-03-01,5.0,6.2,123.2
1989-04-01,5.2,6.5,123.6
1989-05-01,5.2,6.4,123.5
1989-06-01,5.3,6.6,124.0
1989-07-01,5.2,6.5,124.0
1989-08-01,5.2,6.5,124.2
1989-09-01,5.3,6.6,123.9
1989-10-01,5.3,6.6,124.2
1989-11-01,5.4,6.7,124.6
1989-12-01,5.4,6.7,124.5
1990-01-01,5.4,6.8,125.8
1990-02-01,5.3,6.7,125.7
1990-03-01,5.2,6.6,125.8
1990-04-01,5.4,6.8,125.6
1990-05-01,5.4,6.7,125.9
1990-06-01,5.2,6.6,125.6
1990-07-01,5.5,6.9,125.7
1990-08-01,5.7,7.2,126.0
1990-09-01,5.9,7.4,125.9
1990-10-01,5.9,7.5,126.0
1990-11-01,6.2,7.8,126.1
1990-12-01,6.3,7.9,126.1
1991-01-01,6.4,8.0,126.0
1991-02-01,6.6,8.3,126.0
1991-03-01,6.8,8.6,126.2
1991-04-01,6.7,8.4,126.5
1991-05-01,6.9,8.7,126.2
1991-06-01,6.9,8.7,126.3
1991-07-01,6.8,8.6,126.2
1991-08-01,6.9,8.7,126.2
1991-09-01,6.9,8.7,126.6
1991-10-01,7.0,8.8,126.6
1991-11-01,7.0,8.9,126.7
1991-12-01,7.3,9.2,126.7
1992-01-01,7.3,9.3,127.3
1992-02-01,7.4,9.5,127.2
1992-03-01,7.4,9.5,127.6
1992-04-01,7.4,9.4,127.8
1992-05-01,7.6,9.7,128.1
1992-06-01,7.8,10.0,128.5
1992-07-01,7.7,9.8,128.6
1992-08-01,7.6,9.8,128.6
1992-09-01,7.6,9.8,128.5
1992-10-01,7.3,9.4,128.0
1992-11-01,7.4,9.6,128.4
1992-12-01,7.4,9.6,128.6
1993-01-01,7.3,9.3,128.4
