date,value,two_year,ffr
1989-01-01,0.02,9.18,9.15
1989-02-01,-0.0,9.37,9.37
1989-03-01,-0.19,9.68,9.86
1989-04-01,-0.39,9.45,9.84
1989-05-01,-0.82,9.02,9.83
1989-06-01,-1.12,8.41,9.53
1989-07-01,-1.4,7.82,9.22
1989-08-01,-0.86,8.14,9.0
1989-09-01,-0.75,8.28,9.03
1989-10-01,-0.86,7.98,8.84
1989-11-01,-0.79,7.8,8.58
1989-12-01,-0.75,7.78,8.52
1990-01-01,-0.17,8.09,8.26
1990-02-01,0.12,8.37,8.25
1990-03-01,0.34,8.63,8.28
1990-04-01,0.46,8.72,8.27
1990-05-01,0.49,8.64,8.15
1990-06-01,0.06,8.35,8.3
1990-07-01,0.01,8.16,8.15
1990-08-01,-0.09,8.06,8.15
1990-09-01,-0.19,8.08,8.27
1990-10-01,-0.26,7.88,8.14
1990-11-01,-0.23,7.6,7.83
1990-12-01,-0.02,7.31,7.34
1991-01-01,0.02,7.13,7.11
1991-02-01,0.59,6.87,6.28
1991-03-01,0.94,7.1,6.16
1991-04-01,0.98,6.95,5.97
1991-05-01,0.97,6.78,5.81
1991-06-01,1.09,6.96,5.87
1991-07-01,1.08,6.92,5.84
1991-08-01,0.74,6.43,5.69
1991-09-01,0.69,6.18,5.49
1991-10-01,0.67,5.91,5.24
1991-11-01,0.75,5.56,4.81
1991-12-01,0.55,5.03,4.48
1992-01-01,0.85,4.96,4.11
1992-02-01,1.15,5.21,4.06
1992-03-01,1.67,5.68,4.01
1992-04-01,1.54,5.34,3.81
1992-05-01,1.38,5.23,3.84
1992-06-01,1.24,5.05,3.8
1992-07-01,1.03,4.36,3.32
1992-08-01,0.87,4.19,3.33
1992-09-01,0.6,3.89,3.29
1992-10-01,0.94,4.08,3.14
1992-11-01,1.5,4.58,3.08
1992-12-01,1.71,4.67,2.97
1993-01-01,1.27,4.39,3.12
1993-02-01,1.04,4.1,3.06
1993-03-01,0.84,3.95,3.11
1993-04-01,0.86,3.84,2.98
1993-05-01,0.96,3.98,3.02
1993-06-01,1.09,4.16,3.07
1993-07-01,0.98,4.07,3.09
1993-08-01,0.95,4.0,3.05
1993-09-01,0.71,3.85,3.14
1993-10-01,0.88,3.87,2.99
1993-11-01,1.13,4.16,3.02
1993-12-01,1.25,4.21,2.96
1994-01-01,1.02,4.14,3.12
1994-02-01,1.21,4.47,3.27
1994-03-01,1.64,5.0,3.35
1994-04-01,2.0,5.55,3.55
1994-05-01,1.95,5.97,4.02
