country1,country2,val_exp_ijp
ABW,CAN,12473
ABW,CHN,116722
ABW,COL,2179
ABW,IND,6652
ABW,KOR,36636
ABW,MEX,39932
ABW,SVN,603
ABW,USA,67510
ABW,VEN,140
ALB,BEL,59553
ALB,BRA,1233839
ALB,DEU,770539
ALB,GBR,39365
ALB,GRC,2364077
ALB,IND,1293868
ALB,ISR,59000
ALB,ITA,1352135
ALB,KOR,32453.99805
ALB,MKD,39702
ALB,NLD,96795
ALB,SER,36424
ALB,SVN,32105.99805
ALB,TUR,999554
ARG,BRA,1394830
ARG,COL,11879
ARG,ECU,21979
ARG,IND,669043
ARG,MYS,35116
ARG,SVN,12858
ARM,BLZ,2441153
ARM,IND,636239
ARM,USA,615003
AUS,BEL,7140924
AUS,BHR,226588
AUS,CHE,210465
AUS,CHN,186424160
AUS,DEU,154498
AUS,ESP,61741
AUS,FJI,3454
AUS,FRA,689130
AUS,GBR,937565
AUS,HKG,1762183
AUS,IND,39901700
AUS,JPN,1760185
AUS,KOR,64197792
AUS,LUX,1322640
AUS,MYS,18343884
AUS,NCL,1169793
AUS,NGA,53617
AUS,NLD,3510781
AUS,NZL,63269
AUS,OAS,30577992
AUS,PAK,574995
AUS,PHL,79053
AUS,SGP,413283
AUS,THA,6565557
AUS,USA,62312
AUS,VNM,177988
AUS,ZAF,234334
AUT,BEL,4380546
AUT,BGR,532
AUT,CHE,38557
AUT,CHN,218481
AUT,CYP,86277
AUT,CZE,18832492
AUT,DEU,82629208
AUT,ESP,659184
AUT,FRA,14994663
AUT,GBR,2289125
AUT,HKG,35616
AUT,HRV,22340
AUT,HUN,11899000
AUT,IND,1856855
AUT,IRL,7631
AUT,ITA,56422112
AUT,KOR,84701
AUT,LUX,49977
AUT,NLD,3151071
AUT,PAK,56480
AUT,POL,5705799
AUT,ROM,51115052
AUT,SVK,52701
AUT,SVN,11611970
AUT,USA,34187
AZE,RUS,36
AZE,TUR,225965
BEL,ALB,26834
BEL,AUT,4788028
BEL,BRA,326369
BEL,CHE,235369
BEL,CHN,49940996
BEL,CZE,4844781
BEL,DEU,88433704
BEL,DNK,252.9999847
BEL,ESP,903508
BEL,FRA,50206060
BEL,GBR,2347982
BEL,GHA,9059
BEL,HKG,222901
BEL,HUN,647000
BEL,IND,37892120
BEL,ITA,8942626
BEL,JPN,2272030
BEL,KOR,31987630
BEL,LUX,41472064
BEL,MYS,888404
BEL,NGA,27984
BEL,NLD,73984920
BEL,NOR,39016
BEL,OAS,13540993
BEL,PAK,3922280
BEL,POL,7723098
BEL,ROM,679519
BEL,SAU,28105
BEL,SVK,27600
BEL,SVN,59785
BEL,SWE,748
BEL,THA,19632422
BEL,TUN,1566
BEL,TUR,132912
BEL,USA,335185
BEN,CHN,3346603
BEN,IND,18539170
BEN,ITA,11032
BEN,KOR,455266
BEN,OAS,123598
BGR,AUT,62896
BGR,BEL,42876
BGR,CHN,6689782
BGR,CZE,665994
BGR,DEU,2217595
BGR,ESP,8689
BGR,FRA,379
BGR,GBR,30559
BGR,GRC,7917012
BGR,HUN,2743000
BGR,IND,6779808
BGR,ITA,5444135
BGR,KOR,1560525
BGR,MYS,268739
BGR,NLD,83508
BGR,OAS,1947313
BGR,PAK,105870
BGR,POL,35070
BGR,ROM,5728582
BGR,SER,671469
BGR,SVK,4437
BGR,SVN,683089
BGR,SWE,1181
BGR,THA,273861
BGR,TUR,2224873
BGR,USA,132098
BHR,AUT,54215
BHR,CHE,221170
BHR,DEU,9359
BHR,ESP,1050490
BHR,FIN,16381.00098
BHR,IND,23380634
BHR,JOR,542329
BHR,JPN,52756
BHR,KOR,159325
BHR,PAK,454324
BHR,QAT,1370
BHR,SAU,1442.000366
BHR,USA,6000
BHS,NLD,39632
BHS,PRT,257
BHS,USA,2268000
BIH,AUT,97895
BIH,BGR,106931
BIH,CZE,545856
BIH,DEU,1439130
BIH,HRV,19580
BIH,HUN,215050
BIH,ITA,831302
BIH,LTU,268746
BIH,NLD,213463
BIH,SER,6474955
BIH,SVN,6968325
BIH,TUR,816867
BLR,DEU,3489678
BLR,RUS,13600
BLZ,MEX,44988
BLZ,USA,18924
BMU,PRT,322
BMU,USA,2352
BOL,BRA,1599182
BOL,CHN,55311
BOL,KOR,243053
BOL,MEX,289744
BOL,OAS,64399.00391
BOL,THA,9000
BOL,USA,140067
BRA,BEL,6124
BRA,BHS,5412
BRA,CHE,3460143
BRA,CHN,2165152
BRA,CRI,1059
BRA,DEU,10899
BRA,ESP,168484
BRA,GBR,100277
BRA,HKG,122672
BRA,IND,538611
BRA,JPN,173974
BRA,KOR,2065341.125
BRA,MEX,900
BRA,NLD,444237
BRA,OAS,307949
BRA,THA,218636
BRA,USA,612227
BRB,CHN,35909
BRB,HKG,20028
BRB,KOR,34934
BRB,MYS,143363
BRB,USA,427343
BTN,IND,79245
CAF,CMR,40103
CAF,IND,38683
CAN,BEL,1416853
CAN,BLZ,150
CAN,BRA,463349
CAN,CHE,123213
CAN,CHN,94493272
CAN,CRI,109
CAN,DEU,622901
CAN,ESP,3081208
CAN,FRA,3718680
CAN,GBR,983526
CAN,HKG,1032598
CAN,IND,5567517
CAN,ITA,42525
CAN,JPN,541125
CAN,KOR,24744672
CAN,LKA,569
CAN,MEX,772989
CAN,MYS,223840
CAN,NLD,44238
CAN,OAS,3049769
CAN,PAK,811373
CAN,PRT,4277
CAN,THA,1307563
CAN,USA,530444672
CAN,VNM,77754
CHE,AUT,252412
CHE,BEL,1044985
CHE,CHN,2635549
CHE,CZE,677660
CHE,DEU,75684432
CHE,ESP,28646
CHE,FRA,5175751
CHE,HKG,59277
CHE,HUN,889000
CHE,IND,998185
CHE,ITA,83641744
CHE,KOR,103958
CHE,LUX,303405
CHE,MAR,3952
CHE,NLD,2179753
CHE,NOR,217
CHE,OAS,1025202
CHE,PAK,84391
CHE,POL,109750
CHE,SVN,280699
CHE,SWE,21
CHE,TUR,34880
CHL,ARG,8789909
