country1,country2,val_exp_ijp
CHL,BEL,1211068
CHL,BRA,511827
CHL,CHN,2865591
CHL,ECU,1299054
CHL,ESP,174947
CHL,GBR,154995
CHL,HKG,2846
CHL,IND,1084677
CHL,JPN,573952
CHL,KOR,4707346
CHL,MEX,5690389
CHL,MYS,172853
CHL,NLD,1270975
CHL,OAS,1408277
CHL,PAK,24992
CHL,PHL,31326
CHL,THA,260026
CHL,URY,78746
CHL,USA,9136356
CHN,ABW,67
CHN,AUS,2188
CHN,BOL,608
CHN,BRA,13325
CHN,CAN,48842
CHN,CHE,635
CHN,CRI,219
CHN,DEU,360721
CHN,DNK,4202
CHN,ESP,5615
CHN,ETH,60
CHN,FRA,47923
CHN,GBR,1709
CHN,GHA,6934
CHN,GRC,27478964
CHN,HKG,3760227
CHN,IND,19110046
CHN,IRL,2703
CHN,ITA,6590
CHN,JPN,1975710
CHN,KOR,8540518
CHN,MDG,34301
CHN,MLI,721
CHN,MYS,575320
CHN,NGA,67708
CHN,NLD,283
CHN,NOR,3970
CHN,NZL,44255
CHN,OAS,1958863
CHN,PAK,18521
CHN,PHL,1963
CHN,POL,127615
CHN,ROM,37323
CHN,SGP,126841
CHN,SVK,636
CHN,THA,581593
CHN,TZA,239
CHN,USA,274231
CHN,ZAF,9
CHN,ZMB,39
CIV,ESP,5264
CIV,FRA,4752
CIV,IND,151836
CIV,ITA,4897
CIV,NLD,6363
CIV,THA,5883
CIV,VNM,50649
CMR,IND,54388
CMR,PAK,1820
COG,CHN,27093
COG,DEU,1359
COG,FRA,20060
COG,GBR,9346
COG,HKG,15755
COG,IND,805396
COG,NLD,9417
COG,THA,81733
COL,ABW,7018
COL,BOL,4214
COL,BRA,3877815
COL,CAN,21100
COL,CHN,14935938
COL,ECU,36489
COL,ESP,38522
COL,HKG,8388
COL,IND,1667062
COL,JPN,134850
COL,KOR,10063171
COL,MEX,2613598
COL,MYS,146418
COL,NLD,127412
COL,OAS,6392323
COL,PHL,38178
COL,THA,223519
COL,URY,35473
COL,USA,4131310
CPV,IND,178849
CPV,NLD,13627
CPV,PRT,22828
CPV,USA,37986
CRI,BRA,132220
CRI,CAN,24185
CRI,CHL,119872
CRI,CHN,928161
CRI,COL,67477
CRI,ECU,1163964
CRI,ESP,179809
CRI,HKG,30306
CRI,IND,255030
CRI,ITA,96675
CRI,JPN,4035.999756
CRI,KOR,3505188
CRI,MEX,834370
CRI,NIC,10129
CRI,NLD,69061
CRI,OAS,1151084
CRI,THA,63731
CRI,USA,5597493
CRI,VNM,67404
CYP,AUS,24659
CYP,BEL,22907
CYP,CHN,163809
CYP,DEU,910820
CYP,FRA,194494
CYP,GBR,1960103
CYP,GRC,2009572
CYP,IND,5699780
CYP,ITA,765657
CYP,JPN,17636
CYP,KOR,1149904
CYP,MYS,46890
CYP,NLD,2468494
CYP,OAS,103100
CYP,PAK,102232
CYP,POL,31450
CYP,ROM,574774
CYP,SVN,30006
CYP,TUR,1353434
CYP,USA,27238
CZE,AUT,757026
CZE,BEL,176596
CZE,BLR,663
CZE,CHE,175
CZE,CHN,24458
CZE,DEU,23811376
CZE,ESP,974
CZE,EST,524
CZE,FRA,3984808
CZE,GBR,7180
CZE,HUN,3859000
CZE,IND,109965
CZE,ITA,1089423
CZE,LTU,80386
CZE,LVA,499590
CZE,NLD,121629
CZE,PAK,41262
CZE,POL,12021921
CZE,SVK,3466539
CZE,SVN,6034184
CZE,SWE,5759
CZE,USA,2187
DEU,AUT,14261491
DEU,BEL,124815864
DEU,BIH,25451
DEU,BRA,3026505
DEU,CAN,7712
DEU,CHE,73264592
DEU,CHN,165619824
DEU,COL,1835
DEU,CZE,90451616
DEU,DNK,2101022
DEU,ECU,14
DEU,ESP,40665324
DEU,FIN,59694
DEU,FRA,168826848
DEU,GBR,17222596
DEU,GRC,64027
DEU,HKG,1767256
DEU,HUN,37128000
DEU,IND,51403840
DEU,ISR,38000
DEU,ITA,228285552
DEU,JOR,372127
DEU,JPN,1317265
DEU,KOR,12961136
DEU,LBN,26
DEU,LTU,1011594
DEU,LUX,122601920
DEU,LVA,300908
DEU,MAR,380357
DEU,MDA,64
DEU,MEX,10823
DEU,MYS,83082
DEU,NAM,109
DEU,NLD,167133792
DEU,NOR,24669162
DEU,OAS,1742127
DEU,PAK,3622541
DEU,POL,105765064
DEU,PRT,1698
DEU,ROM,2913216
DEU,RUS,1129
DEU,SER,28404
DEU,SGP,1552
DEU,SVK,15232
DEU,SVN,20442846
DEU,SWE,17320968
DEU,THA,3456263
DEU,TUN,16808
DEU,TUR,654727
DEU,USA,283071
DEU,VNM,99599
DEU,ZAF,56858
DMA,CHN,153429
DMA,GBR,22529
DMA,IND,312691
DMA,KOR,194842
DMA,SVK,101287
DMA,USA,63545
DNK,AUT,227223
DNK,BEL,233013
DNK,BGR,2966
DNK,CHN,18780820
DNK,CYP,188
DNK,CZE,149640
DNK,DEU,50427192
DNK,ESP,2842
DNK,EST,2741
DNK,FIN,4850
DNK,FRA,11146909
DNK,GBR,1790896
DNK,GHA,129
DNK,GRC,17
DNK,HKG,43578
DNK,HUN,762000
DNK,IND,2933366
DNK,IRL,1163
DNK,ITA,242094
DNK,KOR,132767
DNK,LTU,44844
DNK,LUX,6319659
DNK,LVA,2166
DNK,MLT,626
DNK,MYS,82966
DNK,NLD,9714496
DNK,NOR,1321614
DNK,PAK,194061
DNK,POL,247024
DNK,PRT,5795
DNK,ROM,14322
DNK,SVK,4849
DNK,SVN,2309
DNK,SWE,11602931
DNK,THA,21227
DNK,URY,2437
DOM,CHN,4458618
DOM,DEU,3648984
DOM,ECU,152837
DOM,ESP,36304
DOM,HKG,16760
DOM,IND,2438167
DOM,ITA,147344
DOM,JPN,103645
DOM,KOR,8712533
DOM,MEX,820972
DOM,MYS,206022
DOM,OAS,1631935
DOM,THA,40795
DOM,USA,2790302
DOM,VNM,28600
ECU,CHN,6489010
ECU,ESP,31866
ECU,IND,568054
ECU,JPN,222243
ECU,KOR,632003
ECU,MEX,64093.00391
ECU,MYS,105559
ECU,OAS,271106
ECU,PER,370898
ECU,USA,1150102
ESP,AUT,175732
ESP,BEL,663202
ESP,BRA,783184
ESP,CHL,73
ESP,CHN,210546704
ESP,DEU,30438950
ESP,FRA,17989014
ESP,GBR,7397790
ESP,GRC,1629916
ESP,HKG,511633
ESP,HUN,333000
ESP,IND,7954479
ESP,ITA,23745668
ESP,KOR,16296175
ESP,LUX,148063
ESP,NLD,340082
ESP,OAS,5407185
ESP,PAK,2595506
ESP,POL,782
ESP,PRT,12663450
ESP,ROM,10317
ESP,SGP,194730
ESP,SVK,2690
ESP,SVN,55152
ESP,THA,479241
ESP,TUR,121828
ESP,USA,92079
EST,AUT,359880
EST,CHN,156551
EST,DEU,760954
EST,ESP,17376
EST,FIN,1954876
EST,GBR,2336570
EST,HUN,300000
EST,IND,1144440
EST,ITA,105241
EST,LTU,574790
EST,LVA,7177950
EST,NLD,35496
EST,OAS,170336
EST,PAK,30060
EST,POL,59377
EST,SVK,404960
ETH,IND,166143
FIN,BEL,268660
FIN,BHR,31649
FIN,CHN,2793590
FIN,CMR,318628
FIN,DEU,2953293
FIN,DNK,150
FIN,EST,286533
FIN,FRA,6098580
FIN,GBR,18306136
FIN,HKG,32105
FIN,IND,3566855
FIN,ITA,1752137
FIN,KOR,2174505
FIN,LVA,23595
FIN,NLD,379498
FIN,OAS,68283
FIN,PAK,1356354
FIN,POL,15810
FIN,SER,21208
FIN,SWE,14244888
FIN,USA,2394281
FIN,VNM,692193
FJI,AUS,307112
FJI,KOR,218807
FJI,NZL,484435
FRA,AUT,669722
FRA,BEL,77606024
FRA,BRA,102547
FRA,CAN,1912304
FRA,CHE,3854716
FRA,CHN,102970096
FRA,CMR,37483
FRA,COL,2166
FRA,CYP,35194
FRA,CZE,70815
FRA,DEU,87385640
FRA,DNK,51
FRA,ESP,72493416
FRA,GBR,8419643
FRA,GRC,196044
FRA,HKG,676498
FRA,HRV,19
FRA,IND,31076902
FRA,IRL,1502
FRA,ITA,129892168
FRA,JPN,2569
FRA,KOR,1553503
FRA,LUX,28062022
FRA,MAR,71780
FRA,MDG,187371
FRA,MEX,4144
FRA,MYS,1840879
FRA,NLD,38179636
FRA,NOR,3978988
FRA,OAS,973825
FRA,PAK,3596831
FRA,PER,188373
FRA,POL,231274
FRA,PRT,300649
FRA,QAT,3729
FRA,ROM,34833
FRA,SAU,53463
FRA,SGP,184403
FRA,SVK,337
FRA,SVN,263098
FRA,SWE,12699
FRA,THA,839958
FRA,TUN,260061
FRA,TUR,68244
FRA,USA,188094
FRA,VNM,41796
FSM,HKG,72881
FSM,KOR,19255
FSM,OAS,90808
GBR,AUS,669662
GBR,AUT,45170
GBR,BEL,19640710
GBR,BGR,300457
GBR,BRA,160636
GBR,CAN,6842
GBR,CHE,780
GBR,CHN,87417160
GBR,CZE,394799
GBR,DEU,20585492
GBR,DNK,3147
GBR,ESP,11421977
GBR,EST,48183
GBR,FIN,4153
GBR,FJI,175881
GBR,FRA,38513448
GBR,GRC,158453
GBR,HKG,3008986
GBR,HUN,1271000
GBR,IND,139283584
GBR,IRL,172371
GBR,ISL,33311
GBR,ISR,2000
GBR,ITA,7540748
GBR,JPN,7805961
GBR,KOR,65866476
GBR,LKA,186335
GBR,LTU,11663
GBR,LUX,1662944
GBR,MEX,1198668
GBR,MYS,181132
GBR,NAM,7875604
GBR,NGA,192474
GBR,NLD,46667716
GBR,NOR,16574338
GBR,OAS,17588294
GBR,OMN,401145
GBR,PAK,4150012.25
GBR,PHL,439380
GBR,POL,2283780
GBR,ROM,233021
GBR,RUS,159
GBR,SGP,266773
GBR,SVN,358389
GBR,SWE,591
GBR,THA,12150708
GBR,TUR,836927
GBR,USA,11888461
GBR,VNM,1002096
GEO,AUT,62387
GEO,CHN,1576471
GEO,DEU,20035
GEO,ESP,17294
GEO,EST,102224
GEO,GBR,200237
GEO,IND,10384331
GEO,ITA,37670
GEO,KOR,2259694
GEO,MYS,126272
GEO,NGA,633839
GEO,NLD,210223
GEO,OAS,1318144
GEO,RUS,27354
GEO,THA,303226
GEO,TUR,67653
GEO,USA,256687.9844
GHA,BEL,75747
GHA,CHN,599045
GHA,CYP,58737
GHA,DEU,47266
GHA,GBR,137372
GHA,GRC,73685
GHA,HKG,504989
GHA,IND,13904508
GHA,ITA,34800
GHA,JPN,44241
GHA,KOR,414808
GHA,LUX,198921
GHA,MLI,1428
GHA,MYS,388310
GHA,NGA,77353
GHA,NLD,601
GHA,OAS,489192
GHA,THA,82269
GRC,AUT,157525
GRC,BGR,20850
GRC,CHN,2883208
GRC,CYP,27697
GRC,DEU,2377822
GRC,ETH,30
GRC,FRA,36408
GRC,GBR,148799
GRC,HKG,18977
GRC,IND,15374867
GRC,ISR,10555
GRC,ITA,3381925
GRC,JPN,64012
GRC,KOR,1148705
GRC,LBN,38306
GRC,LUX,106948
GRC,MYS,864831
GRC,NLD,18584
GRC,PAK,8594
GRC,PHL,39445
GRC,ROM,618559
GRC,SVN,792272
GRC,THA,104099
GRC,USA,30086
GRL,DNK,181943
GTM,BEL,2500
GTM,BRA,10100
GTM,CHN,296358
GTM,CRI,773
GTM,ESP,118427
GTM,HKG,16817
GTM,HND,389177
GTM,IND,124150
GTM,ISL,8000
GTM,KOR,7418389
GTM,LKA,1500
GTM,MEX,180714
GTM,MYS,353059
GTM,NLD,129390
GTM,OAS,1621906
GTM,PAK,2800
GTM,THA,1148934
GTM,USA,22864630
GUY,GBR,25611
GUY,MYS,53868
GUY,NLD,22393
GUY,USA,81630
HKG,ABW,185
HKG,CHE,961
HKG,CHN,1471928704
HKG,ESP,209
HKG,GBR,164695
HKG,IND,788203
HKG,JPN,5791095
HKG,KOR,9225875
HKG,MYS,984842
HKG,OAS,162535
HKG,PAK,32485
HKG,SGP,568538
HKG,THA,836638
HKG,USA,50925
HKG,VNM,275028
HND,BEL,352511
HND,CHN,1375862
HND,ECU,158669
HND,ESP,829295
HND,GRC,41584
HND,IND,193566
HND,JPN,938459
HND,KOR,3466256
HND,MEX,668039
HND,NLD,344940
HND,OAS,639367
HND,PAK,50342
HND,USA,5498718
HND,VNM,51957
HRV,AUT,97611
HRV,BGR,193698
HRV,BIH,3054704
HRV,CZE,464924
HRV,DEU,2817314
HRV,HUN,453223
HRV,IND,223441
HRV,ITA,14437025
HRV,MNT,594536
HRV,NLD,83324
HRV,SVK,31648
HRV,SVN,15545307
HRV,TUR,31623
HUN,AUT,1032433
HUN,BEL,92169
HUN,CHN,114704
HUN,CZE,5344477
HUN,DEU,3716277
HUN,ESP,163639
HUN,EST,8000
HUN,FRA,2864381
HUN,GBR,515148
HUN,HKG,71000
HUN,IND,458023
HUN,ITA,18917542
HUN,NLD,66305
HUN,POL,2305534
HUN,ROM,66403680
HUN,RUS,4000
HUN,SER,2482534
HUN,SVK,1388475
HUN,SVN,7221832
HUN,THA,33000
IND,AUS,107
IND,BHR,81723
IND,BTN,3474
IND,CHE,256747.9844
IND,CHN,193937
IND,DEU,215
IND,FRA,19797
IND,GBR,366098
IND,GRC,22755
IND,HKG,39657
IND,ITA,28327
IND,JPN,4323
IND,KOR,4694092
IND,LKA,11
IND,MOZ,1554
IND,MYS,29518
IND,NGA,2551
IND,NLD,31483
IND,NOR,9390
IND,SGP,2721
IND,TUR,2141174
IND,UGA,3451
IND,USA,7958
IND,ZMB,3025
IRL,BEL,17136
IRL,CHN,1136640
IRL,DEU,1054297
IRL,DNK,81
IRL,ESP,111581
IRL,FRA,704
IRL,GBR,23167900
IRL,HKG,3001775
IRL,IND,765629
IRL,ITA,385
IRL,KOR,222315
IRL,MEX,71411
IRL,MYS,24348
IRL,NLD,187895
IRL,OAS,60961
IRL,PAK,14060
IRL,THA,353078
ISL,DEU,668534
ISL,DNK,32969
ISL,FRA,580970
ISL,GBR,9898129
ISL,KOR,49263
ISL,NLD,156479
ISR,BEL,4337881
ISR,CAN,33000
ISR,CHE,8323
ISR,CHN,1808638
ISR,CZE,881247
ISR,DEU,1995986
ISR,ESP,529871
ISR,FRA,38277
ISR,GBR,2655778
ISR,GRC,6320079
ISR,HKG,1065000
ISR,HUN,1427000
ISR,IND,22043088
ISR,ITA,917524
ISR,JPN,2820838
ISR,KOR,34942452
ISR,LUX,2303505
ISR,MYS,39000
ISR,NLD,524604
ISR,NZL,74000
ISR,OAS,5227393
ISR,PHL,242316
ISR,PSE,84214
ISR,SGP,26465
ISR,SVN,107000
ISR,THA,2454138
ISR,TUR,750069
ISR,USA,780695
ITA,ALB,28020
ITA,AUT,246701
ITA,BEL,938874
ITA,BGR,9430
ITA,BIH,284
ITA,BRA,519870
ITA,CAN,60
ITA,CHE,4111692.75
ITA,CHN,11525121
ITA,CZE,650397
ITA,DEU,35454716
ITA,DNK,4572
ITA,ESP,10657093
ITA,FIN,52748
ITA,FRA,8601162
ITA,GBR,377768
ITA,GRC,2187359
ITA,HKG,2884936
ITA,HRV,35394
ITA,HUN,2268000
ITA,IND,14139011
ITA,IRL,20192
ITA,ISR,78000
ITA,JPN,863353
ITA,KOR,1999102
ITA,LUX,115009
ITA,LVA,267
ITA,MDG,199
ITA,MEX,19078
ITA,MLT,121993
ITA,MYS,510237
ITA,NLD,1205091
ITA,OAS,350456
ITA,PAK,2342661
ITA,POL,887276
ITA,ROM,1605607
ITA,SER,2
ITA,SVK,5408
ITA,SVN,15616254
ITA,SWE,738
ITA,THA,1785414
ITA,TUN,203199
ITA,TUR,2336743
ITA,USA,917527
ITA,VNM,43224
JAM,BRB,787
JAM,CHN,38118
JAM,KOR,731331
JAM,MSR,115
JAM,MYS,57913
JAM,OAS,86992
JAM,USA,87461
JOR,BEL,557287
JOR,BRA,142788
JOR,CHN,246106
JOR,DEU,1744578
JOR,GBR,39532
JOR,GRC,8853771
JOR,IND,8299893.5
JOR,ITA,382129
JOR,JPN,308027
JOR,KOR,4747856
JOR,LUX,368326
JOR,NLD,202988
JOR,OAS,673272
JOR,PAK,45478
JOR,THA,190584
JOR,USA,2231209
JPN,ABW,185
JPN,CAN,380445
JPN,CHN,51731836
JPN,CRI,299
JPN,DEU,21757
JPN,GBR,101653
JPN,HKG,3948269
JPN,IND,2176450
JPN,ISR,1000
JPN,KOR,58019556
JPN,LUX,96
JPN,MYS,16766703
JPN,OAS,424827
JPN,PAK,14844
JPN,PHL,178012
JPN,SGP,18905
JPN,THA,4887865
JPN,URY,44137
JPN,USA,90619
JPN,VNM,1009860
KAZ,AUT,18000
KAZ,BLR,73000
KAZ,CHE,900
KAZ,DEU,273103
KAZ,IND,30840
KAZ,LTU,283770
KAZ,LVA,269975
KAZ,RUS,16949814
KAZ,TUR,471545
KGZ,CHN,16768
KGZ,DEU,31831
KGZ,IND,29176
KGZ,LTU,351174
KGZ,LVA,208394
KGZ,TUR,2949514
KHM,KOR,7769696
KHM,MYS,20332
KHM,SGP,6217
KHM,THA,14874273
KHM,VNM,757568
KIR,HKG,14955
KOR,BRA,13678709
KOR,CAN,156995
KOR,CHL,206
KOR,CHN,10574754
KOR,DEU,2874
KOR,FRA,304835
KOR,GBR,19184
KOR,HKG,261792
KOR,IND,3310628
KOR,IRL,183
KOR,ITA,7851
KOR,JPN,811186
KOR,MYS,1312978
KOR,OAS,58759
KOR,PAK,125457
KOR,POL,1511
KOR,SGP,22919
KOR,SVN,25
KOR,SWE,94651
KOR,THA,140401
KOR,USA,449597
KOR,VNM,131386
KOR,ZAF,240011
LBN,BEL,139085
LBN,CHN,920325
LBN,CYP,137235
LBN,DEU,162626
LBN,ESP,31732
LBN,FRA,74380
LBN,GBR,609387
LBN,GRC,1235416
LBN,IND,7972171
LBN,ITA,96580
LBN,JPN,481074
LBN,KOR,6034617
LBN,MYS,110432
LBN,NLD,1754238
LBN,OAS,1107318
LBN,PAK,7208
LBN,PHL,84902
LBN,ROM,529132
LBN,SGP,215796
LBN,THA,510188
LBN,TUR,96367
LKA,IND,1318754
LKA,JPN,1497
LKA,MYS,65033.99609
LKA,PAK,5887
LKA,SGP,120053
LTU,BLR,429300
LTU,CHN,72163
LTU,CZE,130207.9922
LTU,DEU,1428397
LTU,EST,103746
LTU,FIN,2407421
LTU,HUN,204000
LTU,IND,327523
LTU,ITA,140799
LTU,JOR,31494
LTU,KOR,378893
LTU,LVA,7781584
LTU,OAS,291503
LTU,PAK,16385
LTU,PHL,41436
LTU,POL,833556
LTU,SVN,218501
LTU,SWE,1477
LTU,THA,307478
LTU,VNM,30204
LUX,BEL,1424461
LUX,BIH,4579
LUX,CAN,460
LUX,DEU,10531556
LUX,ESP,372940
LUX,FRA,357316
LUX,IND,99948
LUX,ITA,89909
LUX,NLD,2218076
LUX,NOR,214
LUX,PAK,82572
LUX,POL,112296
LVA,BEL,31692
LVA,BLR,355700
LVA,CHN,715921
LVA,CZE,1351767
LVA,DEU,767552
LVA,ESP,26826
LVA,EST,221962
LVA,HUN,404000
LVA,IND,2271631
LVA,ITA,43984
LVA,KOR,55361
LVA,LTU,926543
LVA,NLD,9453
LVA,NOR,292762
LVA,OAS,182223
LVA,PAK,8059
LVA,POL,1383948
LVA,SGP,41661
LVA,SVN,79924
LVA,SWE,1329
LVA,USA,25595
MAC,CHN,17913488
MAC,HKG,225896
MAR,BEL,109066
MAR,BRA,52676
MAR,CHE,17528
MAR,CHN,4851254
MAR,DEU,396460
MAR,ESP,10329960
MAR,FRA,2631063
MAR,GBR,486842
MAR,IND,23986910
MAR,ITA,91656
MAR,JOR,3483766
MAR,KOR,6809352
MAR,MYS,31277
MAR,NLD,44541
MAR,OAS,4672080
MAR,PAK,21782
MAR,PRT,139524
MAR,THA,31092
MAR,TUN,13
MDA,AUT,724264
MDA,BEL,579
MDA,DEU,9028
MDA,HUN,232000
MDA,IND,863450
MDA,POL,1176086
MDA,ROM,286639
MDA,TUR,3126546
MDG,IND,85262
MDV,IND,391306
MEX,ABW,100532
MEX,BRA,3
MEX,CAN,966
MEX,CHE,3
MEX,CHL,33475
MEX,CHN,32202602
MEX,CRI,77
MEX,DEU,82
MEX,ECU,32283
MEX,ESP,85428
MEX,GBR,271118
MEX,HKG,20250
MEX,HND,172594
MEX,IND,1363038
MEX,ITA,363145
MEX,JPN,594633
MEX,KOR,42924524
MEX,MYS,36661
MEX,NIC,1918
MEX,NLD,2366434
MEX,OAS,29287034
MEX,PAK,101307
MEX,THA,252375
MEX,USA,177280608
MEX,VNM,374050
MKD,BGR,1266739
MKD,CZE,98406
MKD,DEU,6036
MKD,GRC,579131
MKD,ITA,957578
MKD,SER,139920
MKD,SVN,761643
MKD,TUR,1187834
MKD,USA,56429
MLI,NLD,10361
MLT,DEU,38015
MLT,FRA,205499
MLT,IND,79249
MLT,ITA,2105969
MLT,JOR,56668
MLT,KOR,54025
MLT,NLD,67721
MLT,OAS,189798
MLT,THA,212163
MNT,ALB,8573
MNT,BIH,22622
MNT,DEU,80447
MNT,HUN,464000
MNT,ITA,2534924
MNT,NLD,193
MNT,SER,417056
MNT,SVN,2915497
MOZ,IND,241966
MOZ,ZAF,560319
MSR,USA,62775
MUS,IND,1688175
MUS,MDG,336277
MUS,MYS,282
MUS,PRT,193
MUS,SGP,165188
MUS,THA,343889
MUS,ZAF,3502
MYS,CHN,224210528
MYS,HKG,76203
MYS,IND,8110084
MYS,JPN,9585875
MYS,KOR,12941069
MYS,MEX,57072
MYS,NZL,971
MYS,OAS,317708
MYS,PAK,334692
MYS,SGP,770891
MYS,THA,944231
MYS,VNM,4563
NAM,IND,76583
NAM,MYS,13312
NAM,NLD,5830
NAM,PAK,2588
NAM,ZAF,1021153
NCL,AUS,323784
NCL,JPN,84010
NCL,NZL,173533
NER,BEN,14986
NER,NGA,882
NGA,BEN,94
NGA,CHN,93968
NGA,GBR,322291
NGA,IND,15365453
NGA,KOR,76847
NGA,NER,39
NGA,OAS,48696
