date,Private,Government,Rest of World
2001-04-01,-2.48,-1.1,3.58
2001-07-01,-0.15,-3.26,3.41
2001-10-01,-0.44,-2.87,3.31
2002-01-01,0.99,-4.82,3.83
2002-04-01,1.05,-5.25,4.21
2002-07-01,1.16,-5.38,4.22
2002-10-01,1.39,-5.94,4.55
2003-01-01,1.32,-6.28,4.96
2003-04-01,1.85,-6.6,4.76
2003-07-01,2.33,-6.97,4.64
2003-10-01,1.68,-6.07,4.39
2004-01-01,1.63,-6.34,4.7
2004-04-01,0.79,-5.99,5.19
2004-07-01,0.47,-5.7,5.22
2004-10-01,-0.49,-5.39,5.88
2005-01-01,-0.96,-4.63,5.59
2005-04-01,-1.14,-4.51,5.65
2005-07-01,-0.5,-4.85,5.35
2005-10-01,-2.23,-4.19,6.42
2006-01-01,-2.38,-3.59,5.97
2006-04-01,-2.58,-3.5,6.08
2006-07-01,-2.88,-3.47,6.36
2006-10-01,-2.37,-3.17,5.54
2007-01-01,-2.06,-3.7,5.76
2007-04-01,-1.7,-3.72,5.42
2007-07-01,-0.6,-4.29,4.9
2007-10-01,0.03,-4.63,4.6
2008-01-01,0.15,-5.23,5.08
2008-04-01,2.63,-7.58,4.95
2008-07-01,2.57,-7.26,4.69
2008-10-01,5.46,-9.83,4.37
2009-01-01,9.87,-12.69,2.82
2009-04-01,11.3,-13.84,2.53
2009-07-01,10.79,-13.36,2.58
2009-10-01,10.15,-12.97,2.82
2010-01-01,10.27,-13.22,2.94
2010-04-01,10.12,-13.12,3.0
2010-07-01,8.93,-12.09,3.16
2010-10-01,8.85,-11.64,2.79
2011-01-01,8.12,-11.28,3.15
2011-04-01,8.16,-11.34,3.18
2011-07-01,8.13,-10.96,2.83
2011-10-01,7.87,-10.76,2.89
2012-01-01,6.79,-9.75,2.96
2012-04-01,6.63,-9.43,2.8
2012-07-01,6.8,-9.28,2.48
2012-10-01,6.53,-8.72,2.19
2013-01-01,4.53,-6.86,2.33
2013-04-01,2.93,-5.23,2.3
2013-07-01,4.23,-6.35,2.12
2013-10-01,3.46,-5.21,1.75
2014-01-01,2.99,-5.21,2.22
2014-04-01,3.1,-5.11,2.0
2014-07-01,3.28,-5.31,2.03
2014-10-01,2.89,-5.31,2.43
2015-01-01,2.59,-4.98,2.39
2015-04-01,1.93,-4.18,2.25
2015-07-01,2.53,-5.05,2.52
2015-10-01,2.09,-4.37,2.28
2016-01-01,3.08,-5.44,2.36
2016-04-01,3.17,-5.32,2.15
2016-07-01,3.34,-5.45,2.11
2016-10-01,3.38,-5.46,2.07
