DATE,CPIAUCSL,CPILFESL
2006-01-01,4.0,2.1
2006-02-01,3.6,2.1
2006-03-01,3.4,2.1
2006-04-01,3.6,2.3
2006-05-01,4.0,2.4
2006-06-01,4.2,2.6
2006-07-01,4.1,2.7
2006-08-01,3.9,2.8
2006-09-01,2.0,2.9
2006-10-01,1.4,2.8
2006-11-01,2.0,2.6
2006-12-01,2.5,2.6
2007-01-01,2.1,2.7
2007-02-01,2.4,2.7
2007-03-01,2.8,2.5
2007-04-01,2.6,2.4
2007-05-01,2.7,2.3
2007-06-01,2.7,2.2
2007-07-01,2.3,2.2
2007-08-01,1.9,2.1
2007-09-01,2.8,2.1
2007-10-01,3.6,2.2
2007-11-01,4.4,2.3
2007-12-01,4.1,2.4
2008-01-01,4.3,2.5
2008-02-01,4.1,2.3
2008-03-01,4.0,2.4
2008-04-01,3.9,2.3
2008-05-01,4.1,2.3
2008-06-01,4.9,2.4
2008-07-01,5.5,2.5
2008-08-01,5.3,2.5
2008-09-01,5.0,2.4
2008-10-01,3.7,2.2
2008-11-01,1.1,2.0
2008-12-01,0.0,1.8
2009-01-01,-0.1,1.7
2009-02-01,0.0,1.8
2009-03-01,-0.4,1.8
2009-04-01,-0.6,1.9
2009-05-01,-1.0,1.8
2009-06-01,-1.2,1.7
2009-07-01,-2.0,1.5
2009-08-01,-1.5,1.4
2009-09-01,-1.4,1.5
2009-10-01,-0.2,1.7
2009-11-01,1.9,1.7
2009-12-01,2.8,1.8
2010-01-01,2.6,1.5
2010-02-01,2.2,1.3
2010-03-01,2.3,1.2
2010-04-01,2.2,1.0
2010-05-01,2.0,0.9
2010-06-01,1.1,1.0
2010-07-01,1.3,1.0
2010-08-01,1.2,0.9
2010-09-01,1.1,0.8
2010-10-01,1.2,0.6
2010-11-01,1.1,0.7
2010-12-01,1.4,0.7
2011-01-01,1.7,1.0
2011-02-01,2.1,1.1
2011-03-01,2.6,1.2
2011-04-01,3.1,1.3
2011-05-01,3.5,1.5
2011-06-01,3.5,1.6
2011-07-01,3.6,1.7
2011-08-01,3.8,2.0
2011-09-01,3.8,2.0
2011-10-01,3.5,2.1
2011-11-01,3.5,2.1
2011-12-01,3.1,2.3
2012-01-01,3.0,2.3
2012-02-01,2.9,2.2
2012-03-01,2.6,2.2
2012-04-01,2.3,2.3
2012-05-01,1.7,2.3
2012-06-01,1.7,2.2
2012-07-01,1.4,2.1
2012-08-01,1.7,1.9
2012-09-01,1.9,2.0
2012-10-01,2.2,2.0
2012-11-01,1.8,2.0
2012-12-01,1.8,1.9
2013-01-01,1.7,1.9
2013-02-01,2.0,2.0
2013-03-01,1.5,1.9
2013-04-01,1.1,1.7
2013-05-01,1.4,1.7
2013-06-01,1.7,1.6
2013-07-01,1.9,1.7
2013-08-01,1.5,1.8
2013-09-01,1.1,1.7
2013-10-01,0.9,1.7
2013-11-01,1.2,1.7
2013-12-01,1.5,1.7
2014-01-01,1.6,1.6
2014-02-01,1.2,1.6
2014-03-01,1.6,1.6
2014-04-01,2.0,1.8
2014-05-01,2.1,1.9
2014-06-01,2.0,1.9
2014-07-01,1.9,1.9
2014-08-01,1.7,1.7
2014-09-01,1.6,1.7
2014-10-01,1.6,1.8
2014-11-01,1.3,1.7
2014-12-01,0.7,1.6
2015-01-01,-0.2,1.6
2015-02-01,-0.1,1.7
2015-03-01,0.0,1.8
2015-04-01,-0.1,1.8
2015-05-01,0.0,1.7
2015-06-01,0.2,1.8
2015-07-01,0.2,1.8
2015-08-01,0.2,1.8
2015-09-01,0.0,1.9
2015-10-01,0.1,1.9
2015-11-01,0.4,2.0
2015-12-01,0.7,2.1
2016-01-01,1.4,2.2
2016-02-01,1.0,2.3
2016-03-01,0.9,2.2
2016-04-01,1.1,2.1
2016-05-01,1.0,2.2
2016-06-01,1.0,2.2
2016-07-01,0.9,2.2
2016-08-01,1.1,2.3
2016-09-01,1.5,2.2
2016-10-01,1.6,2.2
2016-11-01,1.7,2.1
2016-12-01,2.1,2.2
2017-01-01,2.5,2.3
2017-02-01,2.8,2.2
2017-03-01,2.4,2.0
2017-04-01,2.2,1.9
